,Dataset,Model,Model (Test Time Mean),Model (Test Time Std)
0,X_train_0,AdaBoost Classifier,0.37544429302215576,0.0034188486649665835
1,X_train_0,Bagging (Logistic Regression),0.039395380020141604,0.014971755345291538
2,X_train_0,Logistic Regression,0.004580450057983398,0.0032890212097391952
3,X_train_0,Random Forest Classifier,0.3900363683700562,0.012848131324815725
4,X_train_0,SVC,6.376634430885315,0.163988403852163
5,X_train_0,Stacking Classifier,6.5493457317352295,0.18295063185286206
6,X_train_0,XGBoost Classifier,0.015920186042785646,0.001742254125051919
7,X_train_1,AdaBoost Classifier,0.3752046346664429,0.005422258348688608
8,X_train_1,Bagging (Logistic Regression),0.0461308479309082,0.012219057398397324
9,X_train_1,Logistic Regression,0.0047631502151489254,0.0041039219547067615
10,X_train_1,Random Forest Classifier,0.3880308151245117,0.004764104794882049
11,X_train_1,SVC,6.351956939697265,0.2894176643840764
12,X_train_1,Stacking Classifier,6.460352349281311,0.08602628210777694
13,X_train_1,XGBoost Classifier,0.0169400691986084,0.004165258723622866
14,X_train_2,AdaBoost Classifier,0.3752695798873901,0.002001031663818614
15,X_train_2,Bagging (Logistic Regression),0.04054563045501709,0.017891958078569643
16,X_train_2,Logistic Regression,0.004849624633789062,0.004344434395782493
17,X_train_2,Random Forest Classifier,0.3869446039199829,0.005203800332144387
18,X_train_2,SVC,6.167101430892944,0.1905827264077765
19,X_train_2,Stacking Classifier,6.409848737716675,0.20025494007753175
20,X_train_2,XGBoost Classifier,0.016023993492126465,0.0021131033337989684
21,X_train_3,AdaBoost Classifier,0.373955225944519,0.005366315492497798
22,X_train_3,Bagging (Logistic Regression),0.044432997703552246,0.02152719888032533
23,X_train_3,Logistic Regression,0.006239748001098633,0.004200661364708022
24,X_train_3,Random Forest Classifier,0.3921391248703003,0.014748085999975813
25,X_train_3,SVC,6.089255523681641,0.06478931978262013
26,X_train_3,Stacking Classifier,6.38842625617981,0.25117505029026815
27,X_train_3,XGBoost Classifier,0.015752172470092772,0.002170543318712577
