,Dataset,Model,F1 Score,F1 Score Std,Training Time (s),Test Time (s)
0,X_train_0,Logistic Regression,0.5553869499241275,0.0,4.038740158081055,0.006895303726196289
1,X_train_0,Bagging (Logistic Regression),0.5574102175012645,0.0,25.96677303314209,0.03506898880004883
2,X_train_0,Random Forest Classifier,0.7533039647577093,0.0,35.59168362617493,0.3835723400115967
3,X_train_0,AdaBoost Classifier,0.637546468401487,0.0,27.872755527496338,0.37537193298339844
4,X_train_0,SVC,0.22503328894806923,0.0,25.55622148513794,6.284371852874756
5,X_train_0,Stacking Classifier,0.43956043956043955,0.0,128.80889582633972,7.029104709625244
6,X_train_0,XGBoost Classifier,0.7869529314616021,0.0,8.853752613067627,0.013108491897583008
7,X_train_1,Logistic Regression,0.5475728155339806,0.0,4.079560279846191,0.00853729248046875
8,X_train_1,Bagging (Logistic Regression),0.5504854368932038,0.0,25.306738138198853,0.0689694881439209
9,X_train_1,Random Forest Classifier,0.7367969085444396,0.0,35.312291383743286,0.39224720001220703
10,X_train_1,AdaBoost Classifier,0.6346067415730337,0.0,27.574477910995483,0.3717319965362549
11,X_train_1,SVC,0.21526418786692758,0.0,24.889348030090332,6.268718719482422
12,X_train_1,Stacking Classifier,0.4415300546448087,0.0,126.90186548233032,6.456834316253662
13,X_train_1,XGBoost Classifier,0.7754601226993866,0.0,9.132219552993774,0.016658544540405273
14,X_train_2,Logistic Regression,0.5220406141654285,0.0,4.294080972671509,0.01181793212890625
15,X_train_2,Bagging (Logistic Regression),0.5235032162295893,0.0,27.117326974868774,0.04168248176574707
16,X_train_2,Random Forest Classifier,0.736842105263158,0.0,35.392738819122314,0.38962745666503906
17,X_train_2,AdaBoost Classifier,0.6039076376554174,0.0,27.649418830871582,0.3765745162963867
18,X_train_2,SVC,0.19859961807765752,0.0,25.0849289894104,6.146446943283081
19,X_train_2,Stacking Classifier,0.4436061863447756,0.0,126.00017356872559,6.343357801437378
20,X_train_2,XGBoost Classifier,0.7727815360127338,0.0,9.478883504867554,0.018136978149414062
21,X_train_3,Logistic Regression,0.5380564863571087,0.0,4.541307210922241,0.007819652557373047
22,X_train_3,Bagging (Logistic Regression),0.5349952061361457,0.0,25.800919771194458,0.06465840339660645
23,X_train_3,Random Forest Classifier,0.7418673426277989,0.0,35.661147117614746,0.3862173557281494
24,X_train_3,AdaBoost Classifier,0.6071741032370954,0.0,27.537802696228027,0.37807416915893555
25,X_train_3,SVC,0.2055485498108449,0.0,24.095818519592285,6.082147598266602
26,X_train_3,Stacking Classifier,0.4519985057900635,0.0,123.58850908279419,6.224301815032959
27,X_train_3,XGBoost Classifier,0.7927999999999998,0.0,8.432873725891113,0.017438173294067383
28,X_train_0,Logistic Regression,0.5553869499241275,0.0,3.830517053604126,0.0009620189666748047
29,X_train_0,Bagging (Logistic Regression),0.5574102175012645,0.0,25.638848066329956,0.073699951171875
30,X_train_0,Random Forest Classifier,0.7520842474769635,0.0,35.74671912193298,0.3867948055267334
31,X_train_0,AdaBoost Classifier,0.637546468401487,0.0,27.60388422012329,0.3733057975769043
32,X_train_0,SVC,0.22503328894806923,0.0,24.914835214614868,6.415672063827515
33,X_train_0,Stacking Classifier,0.43956043956043955,0.0,127.0140016078949,6.4108335971832275
34,X_train_0,XGBoost Classifier,0.7869529314616021,0.0,8.825500965118408,0.015503883361816406
35,X_train_1,Logistic Regression,0.5475728155339806,0.0,4.012573003768921,0.007629871368408203
36,X_train_1,Bagging (Logistic Regression),0.5504854368932038,0.0,25.105539798736572,0.04378247261047363
37,X_train_1,Random Forest Classifier,0.7362068965517241,0.0,35.550307750701904,0.39023828506469727
38,X_train_1,AdaBoost Classifier,0.6346067415730337,0.0,27.57108783721924,0.3843252658843994
